firstname	gender	cnt
Chen	f	20
Cherine	f	31
Cherish	f	20
Cherry	f	15
Cheryl	f	132
Cheyanne	f	23
Cheyenne	f	93
Chiara	f	262
Chiraz	f	29
Chirine	f	33
Chloe	f	9619
Chloee	f	130
Chloey	f	19
Chourouk	f	13
Chrisoula	f	14
Chrissy	f	25
Christa	f	74
Christal	f	28
Christel	f	202
Christele	f	20
Christella	f	21
Christelle	f	901
Christian	f	21
Christiana	f	46
Christiane	f	233
Christianne	f	30
Christie	f	72
Christin	f	12
Christina	f	3156
Christine	f	4519
Christopher	f	31
Christy	f	56
Christyna	f	18
Christyne	f	22
Chrystal	f	47
Chrystel	f	116
Chrystelle	f	107
Chrystina	f	27
Chrystine	f	24
Ciana	f	12
Ciara	f	70
Ciera	f	14
Cierra	f	26
Cilia	f	13
Cindie	f	56
Cindy	f	4777
Cinthia	f	311
Cinthya	f	103
Cintia	f	28
Cinzia	f	25
Claire	f	821
Clara	f	4755
Clara-Eve	f	17
Clara Maria	f	12
Clara-Maude	f	16
Clarance	f	12
Clara-Rose	f	21
Clare	f	29
Clarence	f	113
Clarice	f	36
Clarissa	f	79
Clarisse	f	144
Clarita	f	13
Claude	f	280
Claudel	f	94
Claudele	f	21
Claudelle	f	117
Claudette	f	31
Claudia	f	4750
Claudiane	f	126
Claudianne	f	30
Claudie	f	1305
Claudie Anne	f	28
Claudine	f	935
Claudy	f	127
Claudya	f	71
Clea	f	77
Clelia	f	22
Clemence	f	1163
Clementine	f	337
Cleo	f	120
Cleopatra	f	15
Cleophee	f	25
Clhoe	f	23
Clodie	f	73
Clodine	f	41
Clody	f	15
Cloe	f	1684
Cloee	f	66
Cloey	f	15
Clothilde	f	58
Clotilde	f	39
Clover	f	11
Cody	f	22
Coleen	f	14
Colette	f	59
Coline	f	27
Colleen	f	69
Colombe	f	63
Concetta	f	23
Connie	f	95
Constance	f	797
Constantina	f	58
Constantine	f	11
Constanza	f	12
Cora	f	59
Coral	f	20
Cora-Lee	f	28
Coralee	f	30
Corali	f	18
Coralia	f	15
Coralie	f	5045
Coraline	f	115
Corallie	f	14
Corally	f	13
Coraly	f	334
Coralye	f	26
Coralyne	f	24
Cordelia	f	34
Corie	f	12
Corina	f	87
Corine	f	242
Corinna	f	28
Corinne	f	1135
Cornelia	f	12
Corrina	f	27
Corrine	f	45
Cortney	f	13
Cory	f	13
Coryne	f	18
Corynne	f	15
Coumba	f	25
Courtney	f	264
Cristal	f	46
Cristel	f	64
Cristelle	f	82
Cristiana	f	18
Cristina	f	544
Cristine	f	38
Crystal	f	411
Crystale	f	16
Crystel	f	174
Crystelle	f	62
Cybel	f	26
Cybele	f	30
Cybelle	f	23
Cylia	f	47
Cyndel	f	12
Cyndi	f	101
Cyndia	f	33
Cyndie	f	170
Cyndy	f	36
Cynthia	f	7324
Cynthia Ann	f	12
Cyntia	f	121
Cyrielle	f	17
Cyrine	f	88
Dafne	f	43
Dafnee	f	27
Dafney	f	28
Dahlia	f	716
Dahlie	f	14
